ID,smiles
155,C1CCC2=C(C1)C3=C(N=C(N=C3S2)SCC4=CC=CC=C4)N5C(=C(C=N5)C#N)N
156,CCOC(=O)C1=CN=C(N=C1NCCC2=CC=CC=C2)N3C(=CC(=N3)C)C
157,CCC(CC)COC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)CC
158,CC1=CC=C(C=C1)S(=O)(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)/N=C/C5=CC=CO5)N
159,CCC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4
160,CCN(CC)CCCN=C(C)C1=C(N(C(=O)NC1=O)C2CCCCC2)O
161,C1=CC=C2C(=C1)N=C3C(=C(N(C3=N2)/N=C/C4=CC(=C(C=C4)O)O)N)S(=O)(=O)C5=CC(=CC=C5)Cl
162,CN(C)C1=C(N=C(O1)C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl)C#N
163,CCOCCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=CC5=N2
164,CCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C
165,CN1CCC2=C(C1)C(=C3C(=C(SC3=N2)C#N)N)C4=CC=CS4
166,CC(CN1CCN(CC1)C)COC2=CC=CC3=CC=CC=C32
167,CC1=CN2C(=NC3=C(C2=O)C=C(C(=N)N3CCCOC(C)C)C(=S)N)C=C1
168,CCOCCCN1C2=C(C=C(C1=N)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=O)N5C=CC=C(C5=N2)C
169,CCC1=NC2=C(C(=N1)NC3=CC=NC=C3)OC4=CC=CC=C42.Cl
170,C1CC2=C(C1)C(=NC3=C2C4=C(S3)C(=NC=N4)N5CCN(CC5)CCO)N6CCOCC6
171,CC1=NC2=C(C(=N1)NC3=CC=NC=C3)OC4=CC=CC=C42
