,ID,smiles,moleculas
55,55,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B700>
56,56,CN1C2=C(C=C1C(=O)OC(C3=CC=NC=C3)C(=O)NC4CCCCC4)SC=C2,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B760>
57,57,CC1=C(OC2=CC=CC=C12)C(=O)OC(C)CCN(C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B7C0>
58,58,CC1=CC2=C(C=C1)NC(=O)C(=C2)C(C3=NN=NN3C(C)(C)C)N(CC4CCCO4)CC5=CC=CO5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B820>
59,59,CC1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)CN3N=C(N=N3)C4=CC=CC=C4F,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B880>
60,60,COC1=CC=CC(=C1)C2=NN3C(=C2)N=C(C=C3N4CCC5(CC4)OCCO5)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B8E0>
61,61,CC(C)(C)NCC1(C(=O)N=C(S1)N)CO.O.OS(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B940>
62,62,CCOC1=C(C=C(C=C1)CSC2=NCCN2)Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79B9A0>
63,63,CCN(CC1=CC=CC=C1)C(C2=CC=CS2)C3=NN=NN3C4CCCCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BA00>
64,64,CCCN1C2=C(CCCC2)C(=C(C1=O)C(=O)NC3=CC=C(C=C3)OC)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BA60>
65,65,CCOC1=CC(=C(C=C1N2C=NN=N2)OCC)S(=O)(=O)N3CCC(CC3)CC4=CC=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BAC0>
66,66,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN2CCN(CC2)C3=C(C=C(C=C3)C)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BB20>
67,67,C1CN(CCN1C2=CC=CC=C2)C(C3=CN=CC=C3)C4=NN=NN4CC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BB80>
68,68,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CSC4=NN=C(O4)COC5=CC=C(C=C5)F,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BBE0>
69,69,CC1=C(C=CC(=C1)S(=O)(=O)N(CC2=CC(=C(C=C2)OC)OC)CC3=CN=CC=C3)N4C=NN=N4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BC40>
70,70,C1C(=O)N(C2=CC=CC=C2O1)CC(=O)N(CC3=CC(=CC=C3)F)CC4=CN=CC=C4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BCA0>
71,71,C1CCN(C1)C2=NC(=NC3=CC=CC=C32)NC4=CC=C(C=C4)O.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BD00>
72,72,C1CCN(CC1)C2=CC(=C(C=C2)N)N3CCCCC3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BD60>
73,73,C1COCCN1CCCN(C2=NC(=CS2)C3=CC=C(C=C3)F)C(=O)C4=CC=CO4.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BDC0>
74,74,CC1(CC2=C(CO1)C(=NC(=C2C#N)SCC3=CC=C(C=C3)OC)N4CCOCC4)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BE20>
75,75,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=CC=CS3)CC4=NN=NN4CC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BE80>
76,76,C1CN(CCN1CCC(=O)NC2=CC(=CC=C2)Cl)CC3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BEE0>
77,77,C1CN(CCN1CCN2CCOCC2)C3=CC(=NC4=CC(=NN43)C5=CC=C(C=C5)F)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BF40>
78,78,COC1=CC(=CC(=C1)C2=NN3C(=C2)N=C4CCCCC4=C3N5CCN(CC5)C6=NC=CC=N6)OC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79BFA0>
79,79,CC(C)(C)N1C(=NN=N1)C(C2=C(C=CC(=C2)OC)OC)N3CCC4=CC=CC=C4C3.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D040>
80,80,CCC(C1=NN=NN1CS(=O)(=O)C2=CC=C(C=C2)C)N3CCN(CC3)C4=NC5=CC=CC=C5S4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D0A0>
81,81,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D100>
82,82,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D160>
83,83,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D1C0>
84,84,CN1C2=C(C=C1C3=CC=CC=C3)C4=NO[N+](=C4C=C2)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D220>
85,85,C1CCN(CC1)C2=C(C3=C(CN(CC3)CC4=CC=CC=C4)C(=N2)N5CCCCC5)C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D280>
86,86,C1CCC(CC1)N2CCC3=C(C2)C(=NC(=C3C#N)N4CCOCC4)N5CCCCC5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D2E0>
87,87,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CN4CCN(CC4)C.Cl,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D340>
88,88,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D3A0>
89,89,CC1(CC2=C(CN1C)C(=NC(=C2C#N)SCC3=CC=CC=C3)N4CCOCC4)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D400>
90,90,C1=CSC(=C1)C(=O)C2=NO[N+](=C2C(=O)C3=CC=CS3)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D460>
91,91,COC(=O)C1=CC=C(O1)C2=C(C3=C(S2)N=C(C4=C3CCCC4)N5CCOCC5)N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D4C0>
92,92,CN1C2=C(C(=O)NC1=O)N(C(=N2)Br)CCCSC3=NC4=CC=CC=C4O3,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79D520>
